Il,Ilce,Muhtarlik,Muhtar,Boylam,Enlem
Diyarbakir,Çermik,Göktepe,Hüseyin BOZKURT,39.3492,38.0928
Diyarbakir,Çermik,Gözerek,Mithat ŞİMŞEK,39.5465,38.142
Diyarbakir,Çermik,Güçlütaş,Abdulkadir ÇİÇEK,,
Diyarbakir,Çermik,Günaşan,Sefer ÇİNAR,39.3609,38.026
Diyarbakir,Çermik,Gürüz,Süleyman İPEK,,
Diyarbakir,Çermik,Güzel,Zeki ÇETİN,39.2136,38.0071
Diyarbakir,Çermik,Haburman,Akan BARAN,39.4004,38.1239
Diyarbakir,Çermik,İkiçeltik,Ramazan ÇİÇEK,39.4174,38.0022
Diyarbakir,Çermik,İncili,Abdulkerim GÜLER,,
Diyarbakir,Çermik,Kalaç,Abdulkerim AKGÜN,39.3492,38.1313
Diyarbakir,Çermik,Kale,Abdullah KARABAŞ,,
Diyarbakir,Çermik,Kalecik,Şehmus YILMAZ,39.4797,38.1099
Diyarbakir,Çermik,Karacaviran,Mustafa DOĞAN,39.5606,38.0538
Diyarbakir,Çermik,Karakaya,Mehmet KARAKAYA,39.3059,38.0617
Diyarbakir,Çermik,Karamusa,Nuredin GÜLER,39.5091,38.1625
Diyarbakir,Çermik,Karataş,Aziz DEMİR,39.4173,38.0725
Diyarbakir,Çermik,Kartaltaşı,Hüseyin ŞEN,39.3847,38.0564
Diyarbakir,Çermik,Kayagediği,Şuhap KIZILELMA,39.5853,38.1581
Diyarbakir,Çermik,Keklik,Abubekir ERKUL,,
Diyarbakir,Çermik,Kırmatepe,Fayık POLAT,39.4914,38.0857
Diyarbakir,Çermik,Köksal,Mehmet Emin BAŞIBÜYÜK,,
Diyarbakir,Çermik,Kömürcüler,Hasan YİĞİT,39.2536,38.0966
Diyarbakir,Çermik,Konaklı,Muzaffer İNAL,39.2106,38.0371
Diyarbakir,Çermik,Konuksever,Haci ERTUĞRUL,39.5379,38.1084
Diyarbakir,Çermik,Korudağ,Hayrettin KIZILARSLAN,39.2884,38.0877
Diyarbakir,Çermik,Kuşlukçayırı,Nihat GÜL,39.5673,37.9045
Diyarbakir,Çermik,Kuyuköy,İzzet POLAT,39.3668,38.1494
Diyarbakir,Çermik,Örenkuyu,Sadık ASLAN,39.425,37.9686
Diyarbakir,Çermik,Pamuklu,Mehmet PAMUKCI,39.2954,38.0439
Diyarbakir,Çermik,Petekkaya,Haci KILIÇ,39.4369,38.0947
Diyarbakir,Çermik,Pınarlı,Mehmet ASLANOĞLU,39.3042,38.1073
Diyarbakir,Çermik,Recep,İsmet BAYRAM,39.4887,37.9638
Diyarbakir,Çermik,Saltepe,Ali GÖKTAŞ,39.2176,38.0491
Diyarbakir,Çermik,Saray,Mahmut AYDENİZ,,
Diyarbakir,Çermik,Sarıbalta,Zülfükar KIZILTOPRAK,39.4565,37.9407
Diyarbakir,Çermik,Sarıca,Veysi KARAMEHMETOĞLU,39.5578,37.9865
Diyarbakir,Çermik,Şeyhandede,Ramazan KOCA,39.282,38.0276
Diyarbakir,Çermik,Sinekköy,Ramazan GÜNDOĞDİ,39.441,38.1568
Diyarbakir,Çermik,Tepe,Fadil ŞEKER,,
Diyarbakir,Çermik,Toplu,Mehmet AKTAN,39.5424,38.1189
Diyarbakir,Çermik,Yabanardı,Hıdır YILDIZ,39.3293,38.0049
Diyarbakir,Çermik,Yayıklı,Salim KARA,39.3346,38.0729
Diyarbakir,Çermik,Yaylacık,Yusuf KILIÇ,39.2798,37.9784
Diyarbakir,Çermik,Yeşilova,Sedat DEMİR,39.6099,38.0481
Diyarbakir,Çermik,Yiğitler,Sedat TOPÇU,39.5707,38.1179
Diyarbakir,Çermik,Yoğun,Ali YILDIZHAN,39.4547,38.0329
Diyarbakir,Çinar,Ağaçsever,Sait DENİZ,40.3536,37.6029
Diyarbakir,Çinar,Akçomak,Fesih DELİL,40.4636,37.6862
Diyarbakir,Çinar,Aktepe,Raşin IŞIK,40.5699,37.7227
Diyarbakir,Çinar,Alabaş,Osman AVCIL,,
Diyarbakir,Çinar,Alancık,Reşat GÜLER,40.2685,37.5261
Diyarbakir,Çinar,Altınakar,Mehmet Kutbettin ALTUNAKAR,40.4239,37.7644
Diyarbakir,Çinar,Arafat,Halit ÇETİN,40.1899,37.6888
Diyarbakir,Çinar,Aşağıkonak,Hasan ÇİFTÇİ,40.4923,37.6258
Diyarbakir,Çinar,Aşağımollaali,Cemal SOLMAZ,,
Diyarbakir,Çinar,Avdalı,Mehmet AKSAKAL,40.2228,37.5913
Diyarbakir,Çinar,Ayveri,Mehmet Şah AKYÜZ,40.0879,37.7382
Diyarbakir,Çinar,Bağacık,Aladdin TUNÇ,40.4246,37.6461
Diyarbakir,Çinar,Ballıbaba,Şehmus ŞEN,40.2391,37.5316
Diyarbakir,Çinar,Başaklı,Mehmet Muhittin ŞİMŞEK,40.455,37.826
Diyarbakir,Çinar,Başalan,Mehmet Halim KATAR,,
Diyarbakir,Çinar,Bayırkonağı,Şeyhmus SEYHAN,40.0957,37.5906
Diyarbakir,Çinar,Belenli,Edip CEYLAN,40.5129,37.7793
Diyarbakir,Çinar,Bellitaş,Zeki ÇİÇEK,40.1724,37.685
Diyarbakir,Çinar,Beneklitaş,Abdurrahman ÇİMEN,40.0677,37.7123
Diyarbakir,Çinar,Beşpınar,Abuzeyt GÜZELGÜN,,
Diyarbakir,Çinar,Bilmece,Mehmet Said YILMAZ,40.2191,37.5469
Diyarbakir,Çinar,Boğazören,Şeyhmus ŞAN,40.1189,37.8118
Diyarbakir,Çinar,Bozçalı,Mehmet ERBAVA,40.37,37.7403
Diyarbakir,Çinar,Bulutçeker,Salih EMRE,40.1632,37.6259
Diyarbakir,Çinar,Çakırkaya,Mehmet Can TARİM,40.1663,37.6527
Diyarbakir,Çinar,Çakırtutmaz,Şeref TEMEL,,
Diyarbakir,Çinar,Çataltarla,Rıza DEMİRTAŞ,40.6308,37.7318
Diyarbakir,Çinar,Çatmadal,Celalettin ASAR,,
Diyarbakir,Çinar,Çeltikaltı,Yusuf KARABULAK,,
Diyarbakir,Çinar,Çınarköy,Mehmet Şah KILINÇ,40.1008,37.6341
Diyarbakir,Çinar,Çömçeli,Necim AKKEÇİ,40.0048,37.6332
Diyarbakir,Çinar,Çukurbaşı,Haci TUNÇ,40.4949,37.6895
Diyarbakir,Çinar,Cumhuriyet,Abdulkadir GÜNDÜZ,,
Diyarbakir,Çinar,Demirölçek,Celal ARSLAN,40.4951,37.6224
Diyarbakir,Çinar,Dikmencik,Mehmet Mustafa ERDEM,40.3237,37.754
Diyarbakir,Çinar,Dişlibaşak,Reşit ARSLANOĞLU,39.9846,37.6717
Diyarbakir,Çinar,Düğrük,Mahmut ÖZGÜLTER,,
Diyarbakir,Çinar,Düzova,Necati ERTEM,40.5883,37.6326
Diyarbakir,Çinar,Ekinveren,Cengiz DELİL,40.4039,37.6919
Diyarbakir,Çinar,Eski,Sinan YAVUZ,,
Diyarbakir,Çinar,Fatih,Abdulhakim ÖZEN,,
Diyarbakir,Çinar,Filizören,Veysi VAROL,40.279,37.6379
Diyarbakir,Çinar,Gazi,Sadettin DİNÇ,,
Diyarbakir,Çinar,Göktepe,Mehmet ZEYTUN,40.3843,37.6944
Diyarbakir,Çinar,Görece,Nuri ÖZPINAR,40.0688,37.6134
Diyarbakir,Çinar,Gümüştaş,Osman YARDIMCI,39.9762,37.5356
Diyarbakir,Çinar,Gürses,Göksel DELİL,40.3499,37.6762
Diyarbakir,Çinar,Halıören,Kamil BÜLBÜLCÜ,40.0391,37.5992
Diyarbakir,Çinar,Halkapınar,Fesih ÇAKAR,,
Diyarbakir,Çinar,Harabe,Halil DAĞTEKİN,40.0151,37.56
Diyarbakir,Çinar,Hasköy,Nazim ÖZMEN,40.5415,37.7343
Diyarbakir,Çinar,Höyükdibi,Kadri SUBATAN,,
Diyarbakir,Çinar,İnanöz,Abdurrahman TOKUR,,
Diyarbakir,Çinar,İncirtepe,Mehmet Hidayet DEMİREL,40.5041,37.7093
Diyarbakir,Çinar,Karababa,Mehmet Feysel KIZILDAL,40.2434,37.6637
Diyarbakir,Çinar,Karabudak,Mehmet KAPLAN,40.2665,37.6063
Diyarbakir,Çinar,Karaçevre,Alaaddin DENİZ,40.0571,37.679
Diyarbakir,Çinar,Karalar,Necdet KİKİZADE,40.4883,37.8005
Diyarbakir,Çinar,Karasungur,Edip GÜZEL,39.9877,37.6066
Diyarbakir,Çinar,Kazıktepe,Mehmet ATİK,,
Diyarbakir,Çinar,Kılıçkaya,Yusuf ÇİFTÇİ,40.015,37.7948
Diyarbakir,Çinar,Kırkağaç,Hüseyin GÖÇLÜ,,
Diyarbakir,Çinar,Köksalan,Hüseyin ÇELEBİOĞLU,40.4012,37.588
Diyarbakir,Çinar,Kubacık,Faik Ali KARADENİZ,,
Diyarbakir,Çinar,Kürekli,Abdurrahman ARSLAN,40.2807,37.6877
Diyarbakir,Çinar,Kuruyazı,Ramazan ÖZMEZ,40.3312,37.7138
Diyarbakir,Çinar,Kutluk,Talat CEMİLOĞLU,40.5212,37.7598
Diyarbakir,Çinar,Kuyuluhöyük,Cuma ÇETİNER,,
Diyarbakir,Çinar,Leblebitaş,Kudur KARATAŞ,39.9813,37.6283
Diyarbakir,Çinar,Meydanköy,Osman KAVAK,40.6216,37.651
Diyarbakir,Çinar,Muratcık,Cemil ÇALPAN,,
Diyarbakir,Çinar,Öncülü,Mehmet ÖZTÜRK,40.5336,37.7114
Diyarbakir,Çinar,Ortaşar,Ali TEMİZ,40.2887,37.7438
Diyarbakir,Çinar,Ovabağ,Ahmet GÜLEN,,
Diyarbakir,Çinar,Özyar,Mehmet BİLGİÇ,40.2254,37.7061
Diyarbakir,Çinar,Pembeviran,Sıddık TOPALOĞLU,,
Diyarbakir,Çinar,Piremehmetağa,Süleyman KAYA,39.9839,37.5495
Diyarbakir,Çinar,Salyazı,Mehmet ÖTÜN,,
Diyarbakir,Çinar,Şekerören,Vedat DEMİRTAŞ,40.4599,37.7464
Diyarbakir,Çinar,Sevindik,Abdullah AKER,40.0076,37.7421
Diyarbakir,Çinar,Şeyhçoban,İbrahim KARDAŞ,40.2302,37.6899
Diyarbakir,Çinar,Sırımkesen,Metin GÜMÜŞ,,
Diyarbakir,Çinar,Soğansuyu,Emin KARA,40.056,37.786
Diyarbakir,Çinar,Solmaz,Abdulhamit ÇELENK,40.3239,37.6578
Diyarbakir,Çinar,Şükürlü,Nizamettin BOYLU,,
Diyarbakir,Çinar,Sürendal,Deniz GÜNDÜZ,40.3048,37.5556
Diyarbakir,Çinar,Taşhelvası,Davut DAL,40.3124,37.7762
Diyarbakir,Çinar,Tekkaynak,Mustafa KİKİZADE,,
Diyarbakir,Çinar,Tilver,Hikmet KAYA,40.2264,37.6406
Diyarbakir,Çinar,Toraman,Behçet DİREKÇİ,40.3067,37.8039
Diyarbakir,Çinar,Uzgider,Nedim ÖZOY,40.3185,37.689
Diyarbakir,Çinar,Yaprakbaşı,Salih AZİZOĞLU,40.5454,37.6537
Diyarbakir,Çinar,Yarımkaş,Mehmet Sait GÜLÇER,40.1393,37.705
Diyarbakir,Çinar,Yazçiçeği,Şirin GÜLMÜŞ,40.3793,37.6004
Diyarbakir,Çinar,Yeni,Mehmet Ercan ÇELİK,,
Diyarbakir,Çinar,Yeşil,Mehmet DOĞAN,,
Diyarbakir,Çinar,Yeşilbağ,Mehmet Zeki TUTAN,40.0132,37.7087
Diyarbakir,Çinar,Yeşiltaş,Mehmet Nuri KAYA,,
Diyarbakir,Çinar,Yıllarca,Bayram YEŞİL,40.1434,37.7373
Diyarbakir,Çinar,Yukarıortaören,Celal YETİŞTİREN,40.1974,37.5628
Diyarbakir,Çinar,Yuvacık,Mehmet AZİZOĞLU,,
Diyarbakir,Bağlar,5 Nisan,Mehmet KARAHAN,40.2051,37.9224
Diyarbakir,Bağlar,Ağaçgeçit,Songül DOĞAN,40.178248,37.874416
Diyarbakir,Bağlar,Alankoz,Taşdin YILDIZ,,
Diyarbakir,Bağlar,Alipınar,Orhan AKYAPI,40.2115,37.9061
Diyarbakir,Bağlar,Bağcılar,Şeyhmus ŞİRDENLİ,40.1536,37.914
Diyarbakir,Bağlar,Batıçanakçı,Necat BAŞARAN,40.148515,37.875153
Diyarbakir,Bağlar,Batıkarakoç,Osman KAYA,40.191788,37.818647
Diyarbakir,Bağlar,Buçuktepe,Abdulkadır KURTBOĞAN,40.244742,37.785558
Diyarbakir,Bağlar,Buyuransu,Çelebi ÇADIRCI,,
Diyarbakir,Bağlar,Çiçekliyurt,Mehmet AKPİRİNÇ,40.111897,37.849016
Diyarbakir,Bağlar,Çiftlik,Hüsnü Cemal KULU,40.138427,37.876992
Diyarbakir,Bağlar,Develi,Münir DAĞDELEN,40.081749,37.83167
Diyarbakir,Bağlar,Ekince,Bahri TAŞ,,
Diyarbakir,Bağlar,Fatih,Davut YURTÇU,40.2118,37.9155
Diyarbakir,Bağlar,Gömmetaş,İsmet DEMİRKOL,40.051983,37.892245
Diyarbakir,Bağlar,Kabahıdır,Mehmet Emin TOPRAK,,
Diyarbakir,Bağlar,Kamışpınar,Mehmet Beşir DEMİR,,
Diyarbakir,Bağlar,KARACADAĞ,Adem KARACADAĞ,,
Diyarbakir,Bağlar,Karahanköy,Ahmet ÇABUK,,
Diyarbakir,Bağlar,Karamus,,,
Diyarbakir,Bağlar,Kaynartepe,İlhami ALTUN,40.213,37.923
Diyarbakir,Bağlar,Kırkıncık,Sait BİRSEN,,
Diyarbakir,Bağlar,Kırkkoyun,Reşit YILDIZ,,
Diyarbakir,Bağlar,Kolludere,Abdurrahman ATAYKAYA,40.056037,37.862667
Diyarbakir,Bağlar,Körhat,Şeyhmus DEVİREN,40.2117,37.9117
Diyarbakir,Bağlar,Körtepe,Şevket ÇATAR,40.092442,37.868365
Diyarbakir,Bağlar,Mevlana Halit,İlhan ŞAHİN,40.2013,37.9296
Diyarbakir,Bağlar,Muradiye,Dilek DEMİR,40.2123,37.9182
Diyarbakir,Bağlar,Oğlaklı,İhsan TAŞ,,
Diyarbakir,Bağlar,Ortaören,Edip ÖZTÜRK,,
Diyarbakir,Bağlar,Övündüler,Mustafa AKYÜZ,,
Diyarbakir,Bağlar,Özdemir,Mahmut ADIGÜZEL,40.220129,37.875541
Diyarbakir,Bağlar,Pınaroğlu,Cemil ATİK,40.17979,37.748362
Diyarbakir,Bağlar,Sakallı,Şeyhmus DAĞ,,
Diyarbakir,Bağlar,Sarıdallı,Seydi YARAY,40.177288,37.83827
Diyarbakir,Bağlar,Selahattini Eyyubi,Ramazan ŞEKER,40.157244,37.796292
Diyarbakir,Bağlar,Şeyh Şamil,Mehmet KIZILTEPE,40.1931,37.9267
Diyarbakir,Bağlar,Tavşantepe,Salim GÜRAN,40.199767,37.835919
Diyarbakir,Bağlar,Tellikaya,Abit BUDAK,40.162566,37.837445
Diyarbakir,Bağlar,Tokluca,Fırat ARIKAN,,
Diyarbakir,Bağlar,Topraktaş,İsmet KİRAZ,40.034227,37.880679
Diyarbakir,Bağlar,Topyolu,Mehmet Salih KOYUN,40.141608,37.848292
Diyarbakir,Bağlar,Uzunbahçe,Faruk ADIGÜZEL,40.135846,37.789085
Diyarbakir,Bağlar,Yeniköy,Mehmet ÖZKAPLAN,40.1972,37.9188
Diyarbakir,Bağlar,Yeşildallı,Mehmet Salih KARADAŞ,40.131387,37.895863
Diyarbakir,Bağlar,Yiğityolu,Faik EREN,,
Diyarbakir,Bağlar,Yukarıakdibek,Hadi KARAHANLI,,
Diyarbakir,Bağlar,Yukarımollaali,Şerif YILMAZ,40.20996,37.742851
Diyarbakir,Bağlar,Yunus Emre,Mehmet Emin TAŞAR,40.2046,37.9156
Diyarbakir,Bismil,Ağılköy,Azmi AL,40.9733,37.8196
Diyarbakir,Bismil,Ağıllı,Mehmet KURT,40.695,37.7356
Diyarbakir,Bismil,Ahmetli,Erdal YILDIRIM,40.9457,37.7525
Diyarbakir,Bismil,Akbaş,Hafit OĞURGÜL,41.0599,37.9772
Diyarbakir,Bismil,Akçay,Baver ÇETİN,40.6706,38.0179
Diyarbakir,Bismil,Akköy,Mehmet SÜZER,40.9257,37.7523
Diyarbakir,Bismil,Akpınar,Erkan AYAZ,,
Diyarbakir,Bismil,Alibey,Mehmet KARATAŞ,40.8203,37.9411
Diyarbakir,Bismil,Alıncak,Mehmet Şerif ÇİÇEK,40.9551,37.9715
Diyarbakir,Bismil,Altıok,Mürsel ZOROOĞLU,,
Diyarbakir,Bismil,Aluç,Hikmet ÇELEBİ,40.8406,37.8286
Diyarbakir,Bismil,AMBAR,Abdullah BAHAR,,
Diyarbakir,Bismil,Aralık,Yusuf BAŞKAN,40.68,37.8309
Diyarbakir,Bismil,Arapkent,Mehmet Emin KUTLUAY,40.8629,37.7643
Diyarbakir,Bismil,Arıkgöl,Mehmet Adil BİTEN,40.8571,37.8381
Diyarbakir,Bismil,Aşağıdolay,Kadafi ZOROOĞLU,40.7178,37.8924
Diyarbakir,Bismil,Aşağıoba,Murat KAYA,40.8788,37.7857
Diyarbakir,Bismil,Aslanoğlu,İshak KAHRAMAN,,
Diyarbakir,Bismil,Ataköy,Mehmet SANSARKAN,40.53,37.9385
Diyarbakir,Bismil,Aygeçti,Cengiz ÇELEBİ,40.9519,37.7985
Diyarbakir,Bismil,Babahaki,Arap KARABULUT,40.7568,37.8617
Diyarbakir,Bismil,Bademli,Veysi FİDAN,40.9613,37.9255
Diyarbakir,Bismil,Baharlı,İhsan KAŞIM,40.572,37.9813
Diyarbakir,Bismil,Bahçe,Erdal DOĞRU,40.7427,37.96
Diyarbakir,Bismil,Balcılar,Ramazan FİDAN,40.8547,37.7413
Diyarbakir,Bismil,Başhan,Şirin AVCI,40.9128,37.6992
Diyarbakir,Bismil,Başköy,Mehmet Zahit DAŞ,40.9053,37.9892
Diyarbakir,Bismil,Başören,İsmail MENTEŞ,40.7428,37.7637
Diyarbakir,Bismil,Belli,Mehmet DOĞAN,40.8187,37.9122
Diyarbakir,Bismil,Bölümlü,Felemez EKİNCİ,40.5823,37.7088
Diyarbakir,Bismil,Boyacı,Faik KESKİN,41.0232,37.97
Diyarbakir,Bismil,Bozçalı,Teyfik BOZÇALI,40.7679,37.8067
Diyarbakir,Bismil,Çakallı,Emin KAHRAMAN,40.5551,37.9448
Diyarbakir,Bismil,Çakıllı,Mehmet AKTAŞ,40.8599,37.8862
Diyarbakir,Bismil,Çatalköy,Mehmet Münir EKİN,40.8924,37.9438
Diyarbakir,Bismil,Çavuşlu,Fahri KARATEPE,40.6313,37.9417
Diyarbakir,Bismil,Çeltikli,Murat GÜMÜŞ,40.8843,37.8509
Diyarbakir,Bismil,Çölağan,Abdulkadir ÖZEKİNCİ,40.4967,38.0109
Diyarbakir,Bismil,Çöltepe,Fikret İLDENİZ,40.8078,37.8519
Diyarbakir,Bismil,Çorapa,Mehmet Şakir ŞİMŞEK,40.8009,37.8594
Diyarbakir,Bismil,Derbent,Metin YILDIZ,40.8794,37.6503
Diyarbakir,Bismil,Dicle,Mehmet GÖKALP,,
Diyarbakir,Bismil,Doruk,Abdülkadir AZİZOĞLU,40.7918,37.7033
Diyarbakir,Bismil,Dumlupınar,Medeni ONAY,,
Diyarbakir,Bismil,Eliaçık,Mehmet Mehdi KARABULUT,40.5868,37.9066
Diyarbakir,Bismil,Erler,Abdullah GÜNEŞ,40.631,38.0355
Diyarbakir,Bismil,Esentepe,Alattin TEKİN,,
Diyarbakir,Bismil,Fatih,Saim AYDIN,,
Diyarbakir,Bismil,Fırat,Zeynettin ÖNCEL,,
Diyarbakir,Bismil,Gedikbaşı,Mehmet Tarık AYDIN,40.9034,37.7387
Diyarbakir,Bismil,Göksu,Hüseyin AKGÖL,40.5531,37.8304
Diyarbakir,Bismil,Güngeçti,Vahdettin BULUT,40.9138,37.9036
Diyarbakir,Bismil,Güroluk,Fethi SEVİM,40.5595,38.0287
Diyarbakir,Bismil,Güzelköy,Abdulkadir HAMOOĞLU,40.9993,37.732
Diyarbakir,Bismil,Harmanlı,Veysi ÇELEBİ,40.828,37.7294
Diyarbakir,Bismil,Hasanpınar,Abdurrahman ARICA,40.9174,37.894
Diyarbakir,Bismil,İsalı,Atilla AVŞAR,40.8313,37.8388
Diyarbakir,Bismil,İsapınar,Mehmet Arif ÇELEBİ,40.749,37.7236
Diyarbakir,Bismil,Işıklar,Ahmet ARSLAN,40.524,37.9877
Diyarbakir,Bismil,Kağıtlı,Masum KARAARSLAN,40.5243,38.0354
Diyarbakir,Bismil,Kamberli,Fahri İPEK,,
Diyarbakir,Bismil,Kamışlı,Seyit BUKARLI,40.8346,37.9695
Diyarbakir,Bismil,Karabörk,Yavuz TOT,40.7758,37.8881
Diyarbakir,Bismil,Karacık,Ömer ÇALIN,40.8944,37.816
Diyarbakir,Bismil,Karaçölya,Erdal FİLİTOĞLU,40.7593,37.9463
Diyarbakir,Bismil,Karagöz,İslam ATAK,40.6023,37.9466
Diyarbakir,Bismil,Karapınar,Merve ERDEM,40.6789,37.7638
Diyarbakir,Bismil,Karatepe,Hasan EK,40.9047,37.963
Diyarbakir,Bismil,Karayiğit,Yağmur AKGÜN,40.7975,37.9849
Diyarbakir,Bismil,Kavuşak,Mahsum DEMİR,40.9835,37.7859
Diyarbakir,Bismil,Kayıköy,Mehmet Nuri DEMİR,41.0029,37.9693
Diyarbakir,Bismil,Kazancı,Mehmet Sait SARUHANOĞLU,40.6015,37.771
Diyarbakir,Bismil,Keberli,Kutbeddin ALTUNÇ,,
Diyarbakir,Bismil,Kılavuztepe,Rifat ÇİFÇİ,40.6829,37.7491
Diyarbakir,Bismil,Koğuk,Murat TANRIKULU,40.7246,37.7414
Diyarbakir,Bismil,Kopmaz,Şükrü ÇELİK,,
Diyarbakir,Bismil,Köprüköy,Osman İNANÇ,,
Diyarbakir,Bismil,Kopuzlu,Ahmet ÇİÇEK,40.9597,37.9546
Diyarbakir,Bismil,Korukçu,Yılmaz YANIK,40.7354,37.8344
Diyarbakir,Bismil,Köseli,Tarık KOÇ,40.609,37.845
Diyarbakir,Bismil,Koyunlu,Mehmet Salih SUÇİÇEK,40.9474,37.8886
Diyarbakir,Bismil,Kumrulu,Mehmet ADLİ,40.7909,37.9393
Diyarbakir,Bismil,Kurtuluş,Sait ŞAT,,
Diyarbakir,Bismil,Kurudeğirmen,Bekir ŞİMŞEK,40.6988,37.7066
Diyarbakir,Bismil,Kurudere,Murat FİDAN,40.84,37.7926
Diyarbakir,Bismil,Merdan,Abdülkadir MERDANOĞLU,40.8397,37.826
Diyarbakir,Bismil,Meydanlık,Cemil TUNÇ,40.6521,37.7549
Diyarbakir,Bismil,Mirzabey,Menduh OCAKHAN,41.0107,37.9158
Diyarbakir,Bismil,Obalı,Yusuf ÇAKMAK,40.6461,37.837
Diyarbakir,Bismil,Ofköy,Hasan KARAASLAN,40.7402,37.8843
Diyarbakir,Bismil,Oğuzlar,Ekrem ARSLAN,40.6067,38.0614
Diyarbakir,Bismil,Pınarbaşı,Alaaddin AY,40.8871,37.7116
Diyarbakir,Bismil,Şahintepe,Diyadin ÇELEBİ,40.942,37.8021
Diyarbakir,Bismil,Sanayi,Şafi ARGIŞ,,
Diyarbakir,Bismil,Sarıköy,Tekin AYDIN,40.811,37.8149
Diyarbakir,Bismil,Sarıtoprak,Burhan KIZILKAYA,40.4709,37.8369
Diyarbakir,Bismil,Sazlı,Ahmet GÜNERİ,,
Diyarbakir,Bismil,Seki,Ömer DOĞAN,40.7903,37.9281
Diyarbakir,Bismil,Şentepe,Şaban ERKEK,,
Diyarbakir,Bismil,Serçeler,Mehmet Akif YILMAZ,40.668,37.9364
Diyarbakir,Bismil,Seyit Hasan,Kasım BAYRAM,40.5943,37.8846
Diyarbakir,Bismil,Seyrantepe,Ebedin DURMAN,,
Diyarbakir,Bismil,Sinanköy,Halil DORU,40.9941,37.8622
Diyarbakir,Bismil,Tatlıçayır,Rıdvan ÖNAL,40.6323,38.0049
Diyarbakir,Bismil,Tekel,Zeki KILIÇ,,
Diyarbakir,Bismil,Tepecik,Turan GÜNEŞ,40.8486,37.6806
Diyarbakir,Bismil,TEPEKÖY,Abdulkadir SÜMER,,
Diyarbakir,Bismil,Tilkilik,Serhan SALIKYÜZ,40.8873,37.9688
Diyarbakir,Bismil,Topraklı,Hamit ŞEN,40.9609,37.7141
Diyarbakir,Bismil,Türkmenhacı,Bülent KIZIL,40.6104,37.8063
Diyarbakir,Bismil,Üçtepe,Mehmet Fatih AKYILDIZ,40.5459,37.8255
Diyarbakir,Bismil,Uğrak,İbrahim GÜÇLÜ,40.834,37.9997
Diyarbakir,Bismil,Uğurlu,Mehmet Veysi KAYA,40.8754,38.0016
Diyarbakir,Bismil,Ulutürk,Resul AYDIN,40.6553,37.8522
Diyarbakir,Bismil,Uyanık,Mehmet Selim ŞIKGENÇ,40.8829,37.9464
Diyarbakir,Bismil,Yağmurköy,Abdurrahman YAĞMUR,40.8896,37.9268
Diyarbakir,Bismil,Yamaçköy,Recep DÖNMEZ,40.8327,38.0168
Diyarbakir,Bismil,Yasince,Remzi ERCAN,40.5467,37.9081
Diyarbakir,Bismil,Yenice,Şehmus YAŞAR,40.7101,37.7812
Diyarbakir,Bismil,Yukarıdolay,Şehmus ARSLAN,40.7415,37.9081
Diyarbakir,Bismil,Yukarıharım,Mustafa BASMA,40.7083,37.92
Diyarbakir,Bismil,YUKARISALAT,Nihat BAYDAR,,
Adiyaman,Samsat,AKDAMAR,Necmettin ÖZTÜRK,38.4754,37.6272
Adiyaman,Samsat,BAĞARASI,Nezif BİLGİN,38.392,37.5631
Adiyaman,Samsat,Baraj,Mahmut TÜRKMEN,,
Adiyaman,Samsat,BAYIRLI,Ömer KUŞTEPE,38.4023,37.5311
Adiyaman,Samsat,ÇİÇEK,Subhi TAŞKIN,38.554,37.645
Adiyaman,Samsat,DOĞANCA,Abdullah SÖNMEZ,38.4632,37.6345
Adiyaman,Samsat,GÖLPINAR,Hasan BERK,38.4467,37.5573
Adiyaman,Samsat,GÖLTARLA,Salih TAŞKIN,38.4776,37.5922
Adiyaman,Samsat,Kale,Nazim ATA,,
Adiyaman,Samsat,KIRMACIK,Bahri AÇIKALIN,38.4645,37.5349
Adiyaman,Samsat,KIZILÖZ,Bahattin KUŞTEPE,38.4103,37.5178
Adiyaman,Samsat,KOVANOLUK,Murat ATALAY,38.5333,37.5778
Adiyaman,Samsat,KUŞTEPE,Şeyh Abdurrahman KUŞTEPE,38.4257,37.522
Adiyaman,Samsat,Örentaş,Halit YELBOĞA,,
Adiyaman,Samsat,OVACIK,Ferdi ERTAN,38.4415,37.5579
Adiyaman,Samsat,TAŞKUYU,Haci AVCI,38.5011,37.6189
Adiyaman,Samsat,TEPEÖNÜ,Ziya AYHAN,38.5378,37.6057
Adiyaman,Samsat,UZUNTEPE,Haci DENİZ,38.4856,37.6014
Adiyaman,Samsat,YARIMBAĞ,Hasan TEPE,38.4788,37.5591
Adiyaman,Samsat,Yavuz Selim,İsmet İDACI,,
Adiyaman,Sincik,AKSU,Yusuf TÜRK,38.5671,38.1132
Adiyaman,Sincik,ALANCIK,Mehmet ZENCİRKIRAN,38.5571,38.0413
Adiyaman,Sincik,ARIKONAK,Mehmet IŞIK,38.5989,38.101
Adiyaman,Sincik,Ayengin,Osman YOLCU,,
Adiyaman,Sincik,BALKAYA,Orhan DOĞAN,38.5857,38.0832
Adiyaman,Sincik,ÇAMDERE,Ebubekir BAYINDIR,38.5129,37.9358
Adiyaman,Sincik,ÇAT,Şükrü ALPAYDIN,38.6548,38.0288
Adiyaman,Sincik,ÇATBAHÇE,Aziz YETKİN,38.6037,37.9745
Adiyaman,Sincik,Çınar,Sait GÜÇLÜ,,
